[19:00:58 INF] Application starting up...
[19:01:01 INF] Loading the csv info to the db...
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0005: 2
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 535
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0005: 3
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 536
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0006: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 537
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0006: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 538
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0006: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 539
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0007: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 540
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0007: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 541
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0008: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 542
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0008: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 543
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0008: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 544
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0021: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 545
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0021: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 546
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0021: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 547
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0009: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 548
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0010: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 549
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0010: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 550
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0011: 2
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 551
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0011: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 552
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0011: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 553
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0013: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 554
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0013: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 555
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0013: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 556
[19:01:01 INF] Sum of all invoice lines for InvoiceNumber INV0014: 1
[19:01:01 INF] Added InvoiceHeader ID: , InvoiceLine ID: 557
[19:01:01 INF] Verification failed: The sums do not match. InvoiceHeader Total: 0, InvoiceLines Total: 5130.25
[19:01:25 INF] Here is a list of all InvoiceHeaders
[19:01:31 INF] Here is a list of all InvoiceLines
[19:05:33 INF] Application starting up...
[19:05:36 INF] Here is a list of all InvoiceHeaders
[19:05:36 INF] Here is a list of InvoiceHeaders (Page 1)
[19:05:39 INF] Here is a list of InvoiceHeaders (Page 1)
[19:05:40 INF] Here is a list of InvoiceHeaders (Page 1)
[19:05:42 INF] Here is a list of InvoiceHeaders (Page 1)
[19:05:45 INF] Here is a list of InvoiceHeaders (Page 1)
[19:05:51 INF] Here is a list of all InvoiceHeaders
[19:05:51 INF] Here is a list of InvoiceHeaders (Page 1)
[19:05:57 INF] Here is a list of all InvoiceLines
[19:05:57 INF] Here is a list of InvoiceLines (Page 1)
[19:05:59 INF] Here is a list of InvoiceLines (Page 2)
[19:06:01 INF] Here is a list of InvoiceLines (Page 3)
[19:06:03 INF] Here is a list of InvoiceLines (Page 4)
[19:06:43 INF] Application starting up...
[19:06:45 INF] Here is a list of all InvoiceLines
[19:06:45 INF] Here is a list of InvoiceLines (Page 1)
[19:06:48 INF] Here is a list of InvoiceLines (Page 2)
[19:06:48 INF] Here is a list of InvoiceLines (Page 3)
[19:06:49 INF] Here is a list of InvoiceLines (Page 4)
[19:06:50 INF] Here is a list of InvoiceLines (Page 5)
[19:06:52 INF] Here is a list of InvoiceLines (Page 6)
[19:06:59 INF] Here is a list of InvoiceLines (Page 7)
[19:07:01 INF] Here is a list of InvoiceLines (Page 8)
[19:07:02 INF] Here is a list of InvoiceLines (Page 9)
[19:07:02 INF] Here is a list of InvoiceLines (Page 10)
[19:07:03 INF] Here is a list of InvoiceLines (Page 11)
[19:07:04 INF] Here is a list of InvoiceLines (Page 12)
[19:07:04 INF] Here is a list of InvoiceLines (Page 13)
[19:07:04 INF] Here is a list of InvoiceLines (Page 14)
[19:07:04 INF] Here is a list of InvoiceLines (Page 15)
[19:07:05 INF] Here is a list of InvoiceLines (Page 16)
[19:07:05 INF] Here is a list of InvoiceLines (Page 17)
[19:07:05 INF] Here is a list of InvoiceLines (Page 18)
[19:07:05 INF] Here is a list of InvoiceLines (Page 19)
[19:07:05 INF] Here is a list of InvoiceLines (Page 20)
[19:07:05 INF] Here is a list of InvoiceLines (Page 21)
[19:07:06 INF] Here is a list of InvoiceLines (Page 22)
[19:07:06 INF] Here is a list of InvoiceLines (Page 23)
[19:07:06 INF] Here is a list of InvoiceLines (Page 24)
[19:07:06 INF] Here is a list of InvoiceLines (Page 25)
[19:07:06 INF] Here is a list of InvoiceLines (Page 26)
[19:07:06 INF] Here is a list of InvoiceLines (Page 27)
[19:07:07 INF] Here is a list of InvoiceLines (Page 28)
[19:07:07 INF] Here is a list of InvoiceLines (Page 29)
[19:07:07 INF] Here is a list of InvoiceLines (Page 30)
[19:07:07 INF] Here is a list of InvoiceLines (Page 31)
[19:07:07 INF] Here is a list of InvoiceLines (Page 32)
[19:07:08 INF] Here is a list of InvoiceLines (Page 33)
[19:07:08 INF] Here is a list of InvoiceLines (Page 34)
[19:07:08 INF] Here is a list of InvoiceLines (Page 35)
[19:07:08 INF] Here is a list of InvoiceLines (Page 36)
[19:07:09 INF] Here is a list of InvoiceLines (Page 37)
[19:07:09 INF] Here is a list of InvoiceLines (Page 38)
[19:07:09 INF] Here is a list of InvoiceLines (Page 39)
[19:07:10 INF] Here is a list of InvoiceLines (Page 40)
[19:07:10 INF] Here is a list of InvoiceLines (Page 41)
[19:07:10 INF] Here is a list of InvoiceLines (Page 42)
[19:07:10 INF] Here is a list of InvoiceLines (Page 43)
[19:07:11 INF] Here is a list of InvoiceLines (Page 44)
[19:07:11 INF] Here is a list of InvoiceLines (Page 45)
[19:07:11 INF] Here is a list of InvoiceLines (Page 46)
[19:07:11 INF] Here is a list of InvoiceLines (Page 47)
[19:07:11 INF] Here is a list of InvoiceLines (Page 48)
[19:07:12 INF] Here is a list of InvoiceLines (Page 49)
